"d_relationship","d_gender","d_orientation","d_age","d_country","d_ethnicity","lf_for","lf_single","lf_want","AttachmnetStyle","mono","long","relationships","family","anx","avoid"
"Single","Man","Gay",30,"NY","Hispanic / Latin","For  new friends","Who are single","Men","secure",0.923076923076923,0.916666666666667,0.94047619047619,0.865384615384615,0,0
"Single","Man","Straight",38,"CO","White","For  new friends, long-term dating, short-term dating","Who are single","Women","secure",0.653846153846154,0.516666666666667,0.571428571428571,0.865384615384615,0,0
"Single","Man","Straight",38,"FL",NA,"For  new friends","Who are single","Women","secure",0.923076923076923,0.916666666666667,0.94047619047619,0.865384615384615,0,0
"Single","Man","Straight",32,"United Arab Emirates","White","For  new friends, long-term dating, short-term dating","Who are single","Women","fearful",0.923076923076923,0.8,0.857142857142857,0.788461538461538,0.0714285714285714,0.0833333333333333
"Single","Man","Straight",34,"DC","White","For  new friends, long-term dating, short-term dating","Who are single","Women","secure",0.961538461538462,0.716666666666667,0.80952380952381,0.923076923076923,0,0.0833333333333333
"Single","Man","Straight",32,"India",NA,"For  new friends","Who are single","Women","secure",0.923076923076923,0.916666666666667,0.94047619047619,0.865384615384615,0,0
"Single","Man","Straight",32,"WV","White","For  new friends, long-term dating, short-term dating","Who are single","Women","secure",0.461538461538462,0.633333333333333,0.595238095238095,0.865384615384615,0,0
"Single","Man","Straight",46,"HI","White","For  short-term dating","Who are single","Women","fearful",0.538461538461538,0.65,0.630952380952381,0.788461538461538,0.285714285714286,0.25
"Single","Man","Straight",35,"WI","White","For  new friends, long-term dating","Who are single","Women","avoidant",0.923076923076923,0.8,0.857142857142857,0.788461538461538,0.0357142857142857,0.166666666666667
"Single","Man","Straight",45,"OR",NA,"For  new friends, long-term dating, short-term dating","Who are single","Women","anxious",0.923076923076923,0.866666666666667,0.904761904761905,0.788461538461538,0,0
"Single","Man","Straight",21,"UK","White","For  new friends","Who are single","Women","secure",0.923076923076923,0.883333333333333,0.916666666666667,0.865384615384615,0,0
"Single","Man","Straight",42,"France","White","For  new friends, long-term dating, short-term dating","Who are single","Women","anxious",0.884615384615385,0.733333333333333,0.797619047619048,0.711538461538462,0.142857142857143,0
"Single","Woman","Straight",32,"United Arab Emirates","Asian","For  new friends","Who are single","Men","secure",0.923076923076923,0.916666666666667,0.94047619047619,0.865384615384615,0,0
"Single","Woman","Straight",26,"UK","White","For  new friends, long-term dating, short-term dating","Who are single","Men who like women","secure",0.923076923076923,0.883333333333333,0.916666666666667,0.865384615384615,0,0.0833333333333333
"Single","Man","Straight",27,"FL","White","For  long-term dating, short-term dating","Who are single","Women","fearful",0.923076923076923,0.833333333333333,0.880952380952381,0.826923076923077,0.142857142857143,0.166666666666667
"Single","Woman","Straight",29,"WA",NA,"For  new friends, long-term dating, short-term dating","Who are single","Men","anxious",0.846153846153846,0.683333333333333,0.75,0.692307692307692,0,0
"Single","Man","Straight",29,"CA","White","For  new friends, long-term dating, short-term dating","Who are single","Women","secure",0.923076923076923,0.866666666666667,0.904761904761905,0.865384615384615,0,0
"Single","Woman","Straight",30,"NY","White","For  new friends, long-term dating, short-term dating","Who are single","Men","secure",0.923076923076923,0.916666666666667,0.94047619047619,0.865384615384615,0,0
"Single","Woman","Straight",30,"KY","White","For  new friends","Who are single","Men","secure",0.923076923076923,0.916666666666667,0.94047619047619,0.865384615384615,0,0
"Single","Woman","Straight",25,"South Korea","White","For  new friends, short-term dating","Who are single","Men","secure",0.923076923076923,0.833333333333333,0.880952380952381,0.865384615384615,0,0
"Single","Woman","Straight",30,"Singapore","Asian","For  new friends","Who are single","Men who like women","secure",0.923076923076923,0.916666666666667,0.94047619047619,0.865384615384615,0,0
"Single","Woman","Bisexual",34,"Spain","White","For  new friends, long-term dating, short-term dating","Who are single","Everyone","avoidant",0.5,0.85,0.761904761904762,0.826923076923077,0.0714285714285714,0.25
"Single","Man","Straight",38,"UT","White","For  new friends, long-term dating, short-term dating","Who are single","Women","avoidant",0.846153846153846,0.766666666666667,0.80952380952381,0.711538461538462,0.178571428571429,0.25
"Single","Woman","Straight",27,"Poland",NA,"For  new friends, long-term dating, short-term dating","Who are single","Men","secure",0.923076923076923,0.916666666666667,0.94047619047619,0.865384615384615,0,0
"Single","Man","Straight",26,"Alberta","White","For  new friends, long-term dating, short-term dating, casual sex","Who are single","Women","avoidant",0.846153846153846,0.45,0.583333333333333,0.807692307692308,0.142857142857143,0.25
"Single","Man","Straight",26,"WI",NA,"For  new friends","Who are single","Women","secure",0.923076923076923,0.916666666666667,0.94047619047619,0.865384615384615,0,0
"Single","Man","Straight",27,"NY","Asian, White","For  new friends, long-term dating, short-term dating, casual sex","Who are single","Women","secure",0.884615384615385,0.85,0.880952380952381,0.865384615384615,0,0
